sample_id	biome
1346	Freshwater lake
1347	Freshwater lake
1348	Freshwater lake
1349	Freshwater lake
1350	Freshwater lake
1351	Freshwater lake
1352	Freshwater lake
1353	Freshwater lake
1354	Freshwater lake
1355	Freshwater lake
1356	Freshwater lake
1357	Freshwater lake
1358	Freshwater lake
1359	Freshwater lake
1360	Freshwater lake
1361	Freshwater lake
1362	Freshwater lake
1363	Freshwater lake
1364	Freshwater lake
1365	Freshwater lake
1366	Freshwater lake
1367	Freshwater lake
1368	Freshwater lake
1369	Freshwater lake
1370	Freshwater lake
1371	Freshwater lake
1372	Freshwater lake
1373	Freshwater lake
1374	Freshwater lake
1375	Hot spring
1376	Hot spring
1377	Hot spring
1378	Hot spring
1379	Hot spring
1380	Hot spring
1381	Saline water aquarium
1382	Marine
1383	Marine
1384	Animal-associated
1385	Animal-associated
1386	Animal-associated
1387	Animal-associated
1388	Animal-associated
1389	Animal-associated
1390	Marine
1391	Marine
1392	Marine
1393	Marine
1394	Marine
1395	Marine
1396	Marine
1397	Marine
1398	Coastal sea water
1399	Coastal sea water
1400	Coastal sea water
1401	Coastal sea water
1402	Coastal sea water
1403	Coastal sea water
1404	Coastal sea water
1405	Coastal sea water
1406	Coastal sea water
1407	Coastal sea water
1408	Coastal sea water
1409	Coastal sea water
1410	Coastal sea water
1411	Coastal sea water
1412	Coastal sea water
1413	Coastal sea water
1430	Coastal sea water
1431	Coastal sea water
1432	Coastal sea water
1433	Coastal sea water
1434	Coastal sea water
1435	Coastal sea water
1436	Coastal sea water
1437	Coastal sea water
1438	Coastal sea water
1439	Coastal sea water
1440	Coastal sea water
1441	Coastal sea water
1442	Coastal sea water
1443	Coastal sea water
1444	Coastal sea water
1445	Coastal sea water
1446	Coastal sea water
1447	Coastal sea water
1448	Coastal sea water
1449	Coastal sea water
1450	Coastal sea water
1451	Coastal sea water
1452	Coastal sea water
1453	Coastal sea water
1454	Coastal sea water
1455	Coastal sea water
1456	Coastal sea water
1457	Coastal sea water
1458	Coastal sea water
1459	Coastal sea water
1460	Coastal sea water
1461	Coastal sea water
1462	Marine
1463	Marine
1464	Marine
1465	Marine
1466	Marine
1467	Marine
1468	Marine
1469	Marine
1470	Marine
1471	Marine
1472	Marine
1473	Marine
1474	Marine
1475	Marine
1476	Marine
1477	Marine
1478	Marine
1479	Marine
1480	Marine
1481	Marine
1482	Marine
1483	Marine
1484	Marine
1485	Marine
1486	Marine
1487	Marine
1488	Marine
1489	Marine
1490	Marine
1491	Marine
1492	Marine
1493	Marine
1494	Marine
1495	Marine
1496	Marine
1498	Animal-associated
1499	Marine
1500	Marine
1501	Marine
1502	Marine
1503	Marine
1504	Marine
1505	Marine
1506	Marine
1511	Animal-associated
1512	Animal-associated
1513	Animal-associated
1514	Animal-associated
1515	Animal-associated
1516	Animal-associated
1517	Animal-associated
1518	Animal-associated
1519	Animal-associated
1520	Animal-associated
1521	Animal-associated
1522	Animal-associated
1523	Animal-associated
1524	Animal-associated
1525	Animal-associated
1527	Saline water
1528	Saline water
1529	Saline water
1530	Saline water
1531	Saline water
1532	Saline water
1533	Saline water
1534	Saline water
1535	Saline water
1536	Saline water
1537	Saline water
1538	Saline water
1539	Saline water
1540	Saline water
1541	Saline water
1542	Saline water
1543	Saline water
1544	Saline water
1545	Saline water
1546	Saline water
1547	Saline water
1548	Saline water
1549	Saline water
1550	Saline water
1551	Saline water
1552	Saline water
1553	Saline water
1554	Saline water
1555	Saline water
1556	Saline water
1557	Saline water
1558	Saline water
1559	Saline water
1560	Saline water
1561	Saline water
1562	Saline water
1563	Saline water
1564	Saline water
1565	Saline water
1566	Saline water
1567	Saline water
1568	Marine
1569	Marine
1570	Marine
1571	Marine
1572	Marine
1573	Marine
1574	Marine
1575	Marine
1576	Marine
1577	Marine
1578	Marine
1579	Marine
1580	Marine
1581	Marine
1582	Marine
1583	Marine
1584	Marine
1585	Marine
1586	Marine
1587	Marine
1588	Marine
1589	Marine
1590	Marine
1591	Marine
1592	Marine
1593	Marine
1594	Marine
1595	Marine
1596	Marine
1597	Marine
1598	Marine
1599	Marine
1600	Marine
1601	Marine
1607	Freshwater
1608	Soil
1609	Freshwater
1610	Soil
1643	Soil
1644	Soil
1645	Soil
1646	Soil
1647	Soil
1648	Soil
1649	Soil
1650	Soil
1651	Marine
1652	Marine
1653	Marine
1654	Marine
1655	Marine
1656	Marine
1657	Marine
1658	Marine
1659	Marine
1660	Marine
1661	Animal-associated
2291	Marine
2292	Marine
2293	Marine
2294	Marine
2295	Marine
2296	Marine
2297	Marine
2298	Marine
2299	Marine
2300	Marine
2301	Marine
2302	Marine
2303	Animal-associated
2304	Coastal sea water
2305	Coastal sea water
2306	Coastal sea water
2307	Coastal sea water
2308	Coastal sea water
2309	Coastal sea water
2310	Coastal sea water
2311	Coastal sea water
2312	Coastal sea water
2313	Coastal sea water
2314	Coastal sea water
2315	Coastal sea water
2316	Coastal sea water
2321	Marine
2322	Marine
2323	Marine
2324	Marine
2325	Marine
2366	Marine
2367	Marine
2368	Marine
2369	Marine
2370	Marine
2371	Marine
2372	Marine
2373	Marine
2374	Marine
2375	Marine
2376	Marine
2377	Marine
2378	Marine
2379	Marine
2380	Marine
2381	Marine
2382	Marine
2383	Marine
2384	Marine
2385	Marine
2386	Marine
2387	Marine
2388	Marine
2389	Marine
2390	Marine
2391	Marine
2392	Marine
2393	Marine
2394	Marine
2395	Marine
2396	Marine
2397	Marine
2398	Marine
2399	Marine
2400	Marine
2401	Marine
2402	Marine
2403	Marine
2404	Marine
2405	Marine
2406	Marine
2407	Marine
2408	Marine
2409	Marine
2410	Marine
2411	Marine
2412	Marine
2413	Marine
2414	Marine
2415	Marine
2416	Marine
2417	Marine
2418	Marine
2419	Marine
2420	Marine
2421	Marine
2422	Marine
2423	Marine
2424	Marine
2425	Marine
2426	Marine
2427	Marine
2428	Marine
2429	Freshwater river
2430	Marine
2431	Saline water
2432	Saline water
2433	Freshwater
2434	Freshwater
2435	Freshwater
2436	Lagoon
2437	Lagoon
2438	Lagoon
2439	Marine
2440	Marine
2441	Marine
2442	Marine
2443	Marine
2444	Marine
2445	Marine
2446	Marine
2447	Marine
2448	Marine
2449	Marine
2450	Marine
2451	Marine
2452	NA
2453	Freshwater lake
2454	Freshwater lake
2455	Lake sediment
2456	Freshwater lake
2457	Freshwater lake
2458	Freshwater lake
2459	Freshwater lake
2460	Freshwater lake
2461	Freshwater lake
2462	Freshwater lake
2463	Freshwater lake
2464	Freshwater lake
2465	Freshwater lake
2466	Freshwater lake
2467	Freshwater lake
2523	Marine
2534	Polar
2535	Polar
2536	Polar
2537	Polar
2540	Animal-associated
2541	Animal-associated
2542	Animal-associated
2543	Animal-associated
2544	Animal-associated
2545	Animal-associated
2546	Animal-associated
2547	Animal-associated
2548	Animal-associated
2549	Animal-associated
2550	Animal-associated
2551	Animal-associated
2552	Animal-associated
2553	Animal-associated
2554	Animal-associated
2555	Animal-associated
2556	Animal-associated
2557	Animal-associated
2558	Animal-associated
2559	Animal-associated
2560	Animal-associated
2561	Animal-associated
2562	Animal-associated
2563	Animal-associated
2564	Animal-associated
2565	Animal-associated
2566	Animal-associated
2567	Animal-associated
2568	Animal-associated
2569	Animal-associated
2570	Animal-associated
2571	Animal-associated
2572	Animal-associated
2573	Animal-associated
2574	Animal-associated
2575	Animal-associated
2576	Animal-associated
2577	Animal-associated
2578	Animal-associated
2579	Animal-associated
2580	Animal-associated
2581	Animal-associated
2582	Animal-associated
2583	Animal-associated
2584	Animal-associated
2585	Animal-associated
2586	Animal-associated
2587	Animal-associated
2588	Animal-associated
2589	Animal-associated
2590	Animal-associated
2591	Animal-associated
2592	Animal-associated
2593	Animal-associated
2594	Animal-associated
2595	Animal-associated
2639	Marine
2640	Marine
2641	Marine
2642	Marine
2643	Marine
2644	Marine
2645	Marine
2646	Marine
2647	Marine
2648	Marine
2649	Marine
2650	Marine
2651	Marine
2652	Marine
2653	Marine
2654	Marine
2655	Marine
2656	Marine
2657	Marine
2658	Marine
2659	Marine
2660	Marine
2661	Marine
2662	Marine
2663	Marine
2664	Marine
2665	Marine
2666	Marine
2667	Marine
2668	Marine
2669	Marine
2670	Marine
2671	Marine
2672	Marine
2673	Marine
2674	Marine
2675	Marine
2676	Marine
2677	Marine
2678	Marine
2679	Marine
2680	Marine
2681	Marine
2682	Marine
2683	Marine
2684	Marine
2685	Marine
2686	Marine
2698	Marine
2699	Marine
2700	Marine
2701	Marine
2702	Marine
2703	Marine
2704	Marine
2705	Marine
2716	Marine
2717	Marine
2718	Marine
2719	Marine
2720	Marine
2721	Marine
2733	Marine
2734	Marine
2735	Marine
2736	Marine
2741	Animal-associated
2742	Animal-associated
2743	Animal-associated
2744	Animal-associated
2745	Animal-associated
2746	Animal-associated
2747	Animal-associated
2748	Animal-associated
2749	Animal-associated
2750	Animal-associated
2751	Animal-associated
2752	Animal-associated
2753	Animal-associated
2754	Animal-associated
2755	Animal-associated
2756	Animal-associated
2757	Animal-associated
2758	Animal-associated
2759	Animal-associated
2760	Animal-associated
2761	Animal-associated
2762	Animal-associated
2763	Animal-associated
2764	Animal-associated
2765	Animal-associated
2766	Animal-associated
2767	Animal-associated
2768	Animal-associated
2769	Animal-associated
2770	Animal-associated
2771	Animal-associated
2772	Animal-associated
2773	Animal-associated
2774	Animal-associated
2775	Animal-associated
2776	Animal-associated
2777	Animal-associated
2778	Animal-associated
2779	Animal-associated
2780	Animal-associated
2781	Animal-associated
2782	Animal-associated
2783	Animal-associated
2784	Animal-associated
2785	Animal-associated
2786	Animal-associated
2787	Animal-associated
2788	Animal-associated
2789	Animal-associated
2790	Animal-associated
2791	Animal-associated
2792	Animal-associated
2793	Animal-associated
2794	Animal-associated
2795	Animal-associated
2796	Animal-associated
2797	Animal-associated
2798	Animal-associated
2799	Animal-associated
2800	Animal-associated
2801	Animal-associated
2802	Animal-associated
2803	Animal-associated
2804	Animal-associated
2805	Animal-associated
2806	Animal-associated
2807	Animal-associated
2808	Animal-associated
2809	Animal-associated
2810	Animal-associated
2811	Animal-associated
2812	Animal-associated
2813	Animal-associated
2814	Animal-associated
2815	Animal-associated
2816	Animal-associated
2817	Animal-associated
2818	Animal-associated
2819	Animal-associated
2820	Animal-associated
2821	Animal-associated
2822	Animal-associated
2823	Animal-associated
2824	Animal-associated
2825	Animal-associated
2826	Animal-associated
2827	Animal-associated
2828	Animal-associated
2829	Animal-associated
2830	Animal-associated
2831	Animal-associated
2832	Animal-associated
2833	Animal-associated
2834	Animal-associated
2835	Animal-associated
2836	Animal-associated
2837	Animal-associated
2838	Animal-associated
2839	Animal-associated
2840	Animal-associated
2841	Animal-associated
2842	Animal-associated
2843	Animal-associated
2844	Animal-associated
2845	Animal-associated
2846	Animal-associated
2847	Animal-associated
2848	Animal-associated
2849	Animal-associated
2850	Animal-associated
